Permit #,Establishment Name,Address,Zip,Est Type,First Seen,Last Seen,Inspections
78254,JUMP START,"535 S. UPPER ST., STE. 125",40508,605,2007-05-31,2025-10-22,125
78260,HORSESHOE TATTOO,,40503,,2025-09-29,2025-09-29,1
78358,REPICCI'S ITALIAN ICE OF THE BLUEGRASS,222 WILSON DOWNING ROAD,40517,603,2007-06-07,2012-07-13,4
78376,ABBONDANZA - RETAIL FOOD,400 OLD VINE ST,40507,610,2007-09-29,2012-06-30,4
78512,INTERSTATE BRANDS,1314 RUSSELL CAVE RD.,40505,610,2007-08-27,2012-06-15,8
78536,MINI SUPER EL ABUELO,1212 VERSAILLES ROAD,40508,610,2007-07-06,2024-01-22,30
78537,PROUD MARY,9079 OLD RICHMOND ROAD,40515,605,2007-07-02,2025-09-25,100
78680,EL CID,304 S LIMESTONE,40508,605,2008-01-30,2022-11-09,84
78681,"CREATIVE KIDS CHILD CARE, INC.",2385 HUGUENARD DRIVE,40503,"CARE, INC.",2007-07-02,2025-08-06,76
78718,SON'S/PJ'S STATE MOBILE,1528 CANTRILL DRIVE,40505,605,2007-07-27,2007-07-27,1
78765,HAPPY CHINA,1301 WINCHESTER RD. #109,40505,11,2007-08-06,2025-12-10,127
78769,BANDIDO TAQUERIA MEXICANA,535 S. UPPER STREET STE. 145,40508,11,2010-04-19,2024-06-24,54
78798,ZAXBY'S,1772 SHARKEY WAY,40511,605,2007-11-30,2022-02-08,77
78800,HYATT PLACE,2001 BRYANT ROAD,40509,605,2008-12-03,2021-08-19,72
78803,GEORGE PRIVETT RECOVERY CENTER (HOPE CENTER),250 LOUDON AVENUE,40508,CENTER (HOPE,2008-05-20,2025-12-05,123
78857,MAN O'WAR FOUNDATION FARMHOUSE,4089 IRONWORKS PKWY,40511,605,2007-07-16,2016-11-01,23
78866,IMANI FAMILY LIFE CENTER,1555 GEORGETOWN RD.,,,2017-01-23,2017-07-24,6
78867,SONIC 5852,2633 RICHMOND ROAD,40509,605,2007-11-01,2024-01-25,93
78868,PRINCE HOOKAH,555 S LIMESTONE,40508,605,2007-08-23,2019-09-18,77
78924,CLASSIC CAKES,1896 COURTLAND DRIVE,40505,605,2007-08-31,2018-01-24,27
79020,RAISING CANE'S CHICKEN FINGERS - C639,544 S. UPPER STREET,40508,FINGERS - C639,2007-09-13,2025-09-08,85
79116,SUPERMERCADO AGUASCALIENTES,459 W. NEW CIRCLE RD,40511,607,2007-10-03,2025-11-05,263
79179,RAISING CANE'S CHICKEN FINGERS - C640,2201 WAR ADMIRAL WAY,40509,FINGERS - C640,2007-10-02,2025-08-08,100
79185,WALGREENS #18102,2284 VERSAILLES RD.,40504,610,2009-01-30,2020-12-11,15
79186,RITE AID #4041,2296 EXECUTIVE DR,40509,610,2008-08-08,2019-01-07,20
79200,ALDI FOOD MARKET,1509 COLESBURY CIRCLE,40511,610,2008-02-14,2025-10-24,23
79256,MOD SUPERFAST PIZZA,2217 WAR ADMIRAL WAY,40509,605,2008-03-24,2025-10-10,88
79290,BANTER BY PIERCING PAGODA #492,,40503,#492,2025-12-02,2025-12-02,1
79342,DOLLAR TREE #1117,"127 W. TIVERTON, SUITE 134",40503,610,2007-10-26,2025-09-04,23
79354,"UK COMMISSARY, UNIVERSITY OF",19 DONOVAN DR,40506,605,2007-10-23,2014-03-31,15
79451,DON JOSE CUERVO MEXICAN CUISINE,861 S BROADWAY,40504,605,2007-03-12,2014-01-23,22
79471,SEE'S CANDIES,3401 NICHOLASVILLE RD. SPACE T49A,40503,610,2007-11-27,2013-12-17,7
79519,"MESSNER HOME RESIDENTIAL CARE HOME,",708 HILL RISE COURT,40504,605,2007-12-04,2022-04-25,77
79521,"H Q ENTERPRISES, INC",1488 ANNISTON DR,40505,607,2008-06-03,2016-01-25,74
79522,OLIVE GARDEN ITALIAN #6456,3094 HELMSDALE PL,40509,#6456,2007-12-03,2025-10-08,102
79536,HUGO'S,206 W. MAIN STREET,40507,605,2007-12-05,2012-11-28,11
79540,STARBUCKS #14259,2320 ELKHORN ROAD,40509,605,2008-04-01,2025-08-25,92
79541,SIR VEZA'S,4000 TERMINAL DR,40510,11,2008-04-01,2025-08-06,89
79542,SUSHI BLUE,"185 PASADENA DRIVE, #130",40503,605,2008-03-13,2025-07-17,82
79572,KROGER L-768,1600 LEESTOWN RD.  SUITE 150,40502,55,2007-12-07,2025-09-25,154
79573,ZENSHI HANDCRAFTED SUSHI @ KROGER #768,"1600 LEESTOWN ROAD, STE 150",40511,@ KROGER #768,2007-12-10,2025-11-13,95
79638,HOLIDAY INN EXPRESS,1000 EXPORT ST.,40504,607,2007-12-20,2025-10-20,149
79711,EL CAMIONCITO (STATE MOBILE),207 ALSAB COURT,40509,605,2008-01-14,2020-01-29,9
79780,"H & S CITRUS, INC.",750 E. NEW CIRCLE ROAD,40505,610,2008-01-23,2008-01-23,1
79784,FEED THE HUNGRY,811 BRYAN AVENUE,40505,605,2008-01-25,2025-11-05,98
79860,CREATIVE BEGINNINGS,2050 VERSAILLES RD. PEDS BLDG.,40504,605,2008-02-08,2023-01-18,70
